Summary by Manufacturer
Manufacturer,Profile Status,Count,Manufacturer Total
LENOVO,Not assigned,1029,2038
LENOVO,Assigned,997,2038
LENOVO,Fix pending,10,2038
LENOVO,Attention required,2,2038
Dell Inc.,Assigned,510,642
Dell Inc.,Not assigned,128,642
Dell Inc.,Fix pending,3,642
Dell Inc.,Attention required,1,642
HP,Assigned,441,518
HP,Not assigned,75,518
HP,Attention required,2,518
Microsoft Corporation,Assigned,51,75
Microsoft Corporation,Not assigned,24,75
Hewlett-Packard,Assigned,62,66
Hewlett-Packard,Not assigned,4,66
ASUSTeK COMPUTER INC.,Assigned,19,25
ASUSTeK COMPUTER INC.,Not assigned,6,25
"VMware, Inc.",Assigned,5,5
Proline,Assigned,5,5
Mini PC,Assigned,3,3
ASUS,Assigned,2,3
ASUS,Not assigned,1,3
Acer,Assigned,2,2
Razer,Assigned,1,1
"Micro-Star International Co., Ltd.",Assigned,1,1
"Gigabyte Technology Co., Ltd.",Assigned,1,1
To be filled by O.E.M.,Assigned,1,1
CyberPowerPC,Assigned,1,1
Intel(R) Client Systems,Assigned,1,1
Parallels International GmbH.,Assigned,1,1
FUJITSU,Assigned,1,1
innotek GmbH,Assigned,1,1
Default string,Assigned,1,1

Summary by Profile Status
Profile Status,Manufacturer,Count,Status Total
Assigned,LENOVO,997,2107
Assigned,Dell Inc.,510,2107
Assigned,HP,441,2107
Assigned,Hewlett-Packard,62,2107
Assigned,Microsoft Corporation,51,2107
Assigned,ASUSTeK COMPUTER INC.,19,2107
Assigned,"VMware, Inc.",5,2107
Assigned,Proline,5,2107
Assigned,Mini PC,3,2107
Assigned,Acer,2,2107
Assigned,ASUS,2,2107
Assigned,Razer,1,2107
Assigned,"Micro-Star International Co., Ltd.",1,2107
Assigned,"Gigabyte Technology Co., Ltd.",1,2107
Assigned,To be filled by O.E.M.,1,2107
Assigned,CyberPowerPC,1,2107
Assigned,Intel(R) Client Systems,1,2107
Assigned,Parallels International GmbH.,1,2107
Assigned,FUJITSU,1,2107
Assigned,innotek GmbH,1,2107
Assigned,Default string,1,2107
Not assigned,LENOVO,1029,1267
Not assigned,Dell Inc.,128,1267
Not assigned,HP,75,1267
Not assigned,Microsoft Corporation,24,1267
Not assigned,ASUSTeK COMPUTER INC.,6,1267
Not assigned,Hewlett-Packard,4,1267
Not assigned,ASUS,1,1267
Fix pending,LENOVO,10,13
Fix pending,Dell Inc.,3,13
Attention required,HP,2,5
Attention required,LENOVO,2,5
Attention required,Dell Inc.,1,5
